title,sale_price,item_sold,likes,shop_rating,discount_pct,category,brand,product_short_link,opportunity_score
ดีดีครีมกันแดดแตงโม 1 หลอด [ปรับผิวไบรท์เนียนใส] Jula's Herb จุฬาเฮิร์บ,240.0,2947.0,5171.0,4.93,2.0,Face Sunscreen,Jula's Herb(จุฬาเฮิร์บ),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F240738298%2F28211707884,2102.8
ตะกร้าบริษัท [ขนาด 30 g.] PALA รองพื้น SPF50+ PA+++ Soft Mist Long-Lasting Liquid Foundation มี อ.ย.,109.0,3727.0,2957.0,4.93,22.0,Face,Pala(พลา),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F1445457852%2F24490268546,2085.4
PALA ไพรเมอร์ SOFTENING AND EVEN SKIN PRIMER SPF50+ PA+++ เบลอรูขุมขน เมคอัพเบส แบรนด์ไทย 30 ML.,148.0,2446.0,6142.0,4.93,51.0,Face,Pala(พลา),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F1445457852%2F40308248890,2055.55
CHARMISS GLOW FRIEND NATURAL BLUSH ON : ชาร์มิส โกลว์เฟรน เนเชอรัล บลัช ออน ปัดแก้ม x 1 ชิ้น,79.0,11.0,12569.0,4.78,0.0,Face,Charmiss,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F66964250%2F20649115105,2034.65
JUNGSAEMMOOL Masterclass glow Base 50ml จองแซมมุล มาสเตอร์คลาส โกลว์ เบส เบสปรับสภาพผิวฉ่ำโกลว์,1300.0,487.0,10784.0,4.92,0.0,Face,Jung Saem Mool,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F201809758%2F14908918965,1960.15
5406(ใหม่/แท้) คอนซีลเลอร์เนื้อลิควิด หัวฟองน้ำ ปกปิดรอยดำ รอยสิว ใต้ตาคล้ำ กันน้ำ ติดทน novo liquid Soft concealer,19.0,7.0,12072.0,4.76,0.0,Face,Novo,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F25539018%2F9543785153,1956.1
นีเวีย เซรั่มกันแดดผิวหน้า ซัน เซนส์ซิทีฟ โพรเท็ค แอนด์ ไลท์ ฟีล เอสพีเอฟ50+ พีเอ+++ 90 มล. NIVEA,474.0,842.0,9789.0,4.92,5.0,Face Sunscreen,Nivea,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F172431741%2F25913566712,1953.5
Rojukiss 5X Intensive Mask 25ml โรจูคิส แผ่นมาส์ก (White Poreless/Perfect Poreles/Acne Poreless),34.0,503.0,10480.0,4.93,51.0,Face Mask & Packs,Rojukiss(โรจูคิส),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F70998059%2F8620556244,1928.9
4U2 PRO SKIN LONGWEAR FOUNDATION  POWDER SPF50+ PA++++ แป้งผสมรองพื้น4U2 แป้งผสมกันแดด ปกปิดสูง กันน้ำ กันเหงื่อ,188.0,869.0,9303.0,4.9,37.0,Face,4U2,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F125219443%2F23527019625,1895.9
Flortte Highlight Powder Bunny Co-Branded Single Color Highlight Powder สามมิติ Contouring และ Brightening Facial Contouring,159.0,769.0,9332.0,4.87,60.0,Face,NoBrand,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F1236607422%2F28503124928,1863.4
Glass skin รองพื้นเจ้านางผิวกระจกแบบซอง (5ก.) - Chaonang Glass Skin Foundation SPF30 PA+++ 5g.,59.0,825.0,8979.0,4.92,0.0,Face,Chaonang(เจ้านาง),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F176122577%2F27673559503,1824.3
YOU Sunbrella Triple UV Elixir Sunscreen SPF50+ PA++++ ครีมกันแดดสูตรน้ำ เนื้อบางเบาไม่ทิ้งคราบป้องกันผิวจากรังสีUVA UVB,47.0,147.0,10691.0,4.89,70.0,Face Sunscreen,Y.O.U,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F375845828%2F12670842470,1819.8
MAYBELLINE - Fit Me Matte + Poreless Powder (6 g.) แป้ง,99.0,838.0,8853.0,4.9,41.0,Face,Maybelline,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F388038998%2F8232283623,1816.45
[กด 2 ชิ้น เพื่อรับ 1 แถม 1] [EXP09/2026] HAPPY SUNDAY AURA FLORA SKIN CUSHION | คุชชั่นดอกไม้,199.0,31.0,10935.0,4.91,75.0,Face,Happy Sunday(แฮปปี้ซันเดย์),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F145718193%2F23681774302,1811.35
"♦️ของแท้·ส่งด่วน·ถูก♦️Sivanna Blusher #847 : ซิวานน่า บรัชออน ปัดแก้ม เนื้อฝุ่น x 1 ชิ้น dayse",38.0,25.0,10920.0,4.86,22.0,Face,Sivanna Colors(ซีเวนน่า คัลเลอร์ส),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F11210871%2F521516638,1796.35
(แบบขวด) รองพื้นขวด Roseate Dreamy Skin Foundation รองพื้นคุมมัน กันน้ำ ปกปิดเนียน SPF50 PA+++,490.0,436.0,9815.0,4.91,0.0,Face,NoBrand,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F74654415%2F19915130977,1794.4
ของแท้>>ส่งด่วน Rom&nd Nu Zero Cushion SPF24 PA++ คุชชั่นสูตรแมท ปกปิดดี คุมมัน,289.0,23.0,10780.0,4.91,51.0,Face,rom&nd,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F7532367%2F14684548610,1781.6
[แพ็คคู่] MizuMi UV Ultimate Matte & Oil Control Sunscreen 40g กันแดดคุมมัน ผิวแมตต์ยาวนาน บางเบา ไม่เยิ้มระหว่างวัน,1780.0,2204.0,4778.0,4.94,0.0,Face Sunscreen,MizuMi(มิชึมิ),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F70802054%2F26729045126,1746.8
"🔥พร้อมส่ง🔥BANOBAGI Final Sleeping Mask สลีปปิ้งมาสก์ 4 สูตร (Whitening, Acne, Bio-Lacto, Caffeine)",42.0,5.0,10542.0,4.92,52.0,Face Mask & Packs,Banobagi,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F14275928%2F22343257225,1738.85
Judydoll  Water Satin Glow Blush,169.0,647.0,8812.0,4.91,69.0,Face,Judydoll,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F341989826%2F42200722481,1738.25
"Srichand ศรีจันทร์ สกิน เอสเซนเชี่ยล คอนซีลเลอร์ 3มล #120 เบจ",88.0,93.0,10292.0,4.92,60.0,Face,Srichand(ศรีจันทร์),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F31092295%2F6470774334,1737.45
"♦️ของแท้·ส่งด่วน·ถูก♦️Sivanna Loose Powder #F010 : ซิวานน่า แป้งฝุ่น ตลับดำ x 1 ชิ้น      dayse",69.0,54.0,10286.0,4.86,65.0,Face,Sivanna Colors(ซีเวนน่า คัลเลอร์ส),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F11210871%2F715420667,1719.9
[ขายดี] KMA รองพื้น คุมมัน ยาวนาน 12 ชม. WATER RESIST SPF30 30ml.,357.0,759.0,8430.0,4.91,15.0,Face,KMA(เคเอ็มเอ),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F91841138%2F20776284442,1717.95
BANOBAGI Final Sleeping Mask Caffeine (1 pc.),48.0,278.0,9593.0,4.95,48.0,Face Mask & Packs,Banobagi,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F955646332%2F19874710229,1705.7
Dr.PONG Timeless bakuchiol anti-aging sleeping mask สลิปปิ้ง มาส์ก bakuchiol 1% ลดเลือนริ้วรอย ชะลอวัย,360.0,165.0,9760.0,4.92,55.0,Face Mask & Packs,Dr.Pong(ด็อกเตอร์พงศ์),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F6583190%2F19422594467,1685.85
MINI LA GLACE CORRECTOR | คอเรคเตอร์ลากลาสแบบซอง มี2เฉด ช่วยปรับรอยคล้ำได้อย่างเป็นธรรมชาติ ไม่เขียวไม,69.0,2162.0,4385.0,4.94,0.0,Face,La Glace,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F313357518%2F44020327926,1670.75
ซอง Mille Snail Bright Primer / Brightening Aura Collagen / ทาตัว Blink Bright มิลเล่ สเนล ไบร์ท ไพรเมอร์ ครีมซอง 6g,49.0,8.0,10034.0,4.86,29.0,Face,Mille(มิลเล่),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F104250768%2F2258465347,1658.9
2P ORIGINAL OH MY BLUSH DOT 3g. บลัชหัวโต ติดทนถึง 12 ชั่วโมง กันน้ำ กันเหงื่อ ไม่เป็นคราบ,234.0,1590.0,5733.0,4.9,58.0,Face,2p original(ทูพี ออริจินัล),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F14140907%2F26374899556,1652.7
🔥ส่งด่วน/ส่งทันที🔥คอนซีลเลอร์ Srichand Skin Essential Concealer ศรีจันทร์ คอนซีลเลอร์ concealer แนบเนื้อ ปกปิด,28.0,26.0,9836.0,4.85,28.0,Face,Srichand(ศรีจันทร์),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F13939738%2F6179264134,1635.95
M080 QISE ไพรเมอร์เนื้อเจล ไพรเมอร์เนื้อครีม ไพรเมอร์เบลอรูขุมขน ไพรเมอร์คุมมันทาก่อนลงรองพื้นและเมคอัพ Primer Gel Cream,42.0,122.0,9011.0,4.75,63.0,Face,NoBrand,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F274041486%2F12774255753,1552.4
[ 1 แถม 1 ]    SKIN1004 Madagascar Centella Watergel Sheet Ampoule Mask 5 pcs.มาส์กกู้ผิวโทรมแบบเร่งด่วน,390.0,396.0,8121.0,4.94,50.0,Face Mask & Packs,SKIN1004,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F304046042%2F4255708593,1532.4
Charmiss Glowfriend Natural Blush On บลัชออนเนื้อกึ่งโมจิ ปัดลุคป็อป แก้มสวยปิ๊ง,69.0,207.0,8586.0,4.91,73.0,Face,Charmiss,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F240129664%2F25716642721,1528.65
[เซตคู่] Skinsista ครีมกันแดด ลดสิว เพื่อผิวแพ้ง่าย V Block SPF50+ PA++++30ml x 2,674.0,655.0,7351.0,4.9,57.0,Face Sunscreen,Skinsista(สกินซิสต้า),https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F44554493%2F16701445255,1520.65
แป้งศศิ แป้งศรีจันทร์ แป้งฝุ่น Sasi oil control / BB perfect / Peary glow / Sun Cool /  Tomato 50g.,39.0,86.0,8884.0,4.88,0.0,Face,Sasi,https://shope.ee/an_redir?origin_link=https%3A%2F%2Fshopee.co.th%2Fproduct%2F62467035%2F7689744197,1513.55
